case,symbol,block_rms_error,filtered_mean_error
Measured FIR plus residual clock,640,2794.486415246995,2117.3020747756723
Measured FIR plus residual clock,800,2613.1661554998755,2266.061298992933
Measured FIR plus residual clock,960,2806.591044977875,2428.2202227884154
Measured FIR plus residual clock,1120,2748.2015096240666,2524.214608839111
Measured FIR plus residual clock,1280,2368.323784874019,2477.4473616495834
Measured FIR plus residual clock,1440,1617.1544665708345,2219.3594931259586
Measured FIR plus residual clock,1600,1810.2284299916405,2096.620174185663
Measured FIR plus residual clock,1760,1905.8330068502855,2039.3840239850497
Measured FIR plus residual clock,1920,1814.9076526093552,1972.0411125723413
Measured FIR plus residual clock,2080,1686.5554430554603,1886.395411717277
Measured FIR plus residual clock,2240,769.0127721631156,1551.1806198510285
Measured FIR plus residual clock,2400,678.8200930659021,1289.4724618154905
Measured FIR plus residual clock,2560,653.224779459567,1098.5981571087134
Measured FIR plus residual clock,2720,711.5865811691505,982.4946843268444
Measured FIR plus residual clock,2880,662.1223687884287,886.3829896653197
Measured FIR plus residual clock,3040,695.3628863766027,829.0769586787045
Measured FIR plus residual clock,3200,714.0376128048158,794.565154916538
Measured FIR plus residual clock,3360,713.6150091260693,770.2801111793973
Measured FIR plus residual clock,3520,742.9767072391974,762.0890899973373
Measured FIR plus residual clock,3680,790.6544559730249,770.6586997900436
Measured FIR plus residual clock,3840,837.4090473000635,790.6838040430496
Measured FIR plus residual clock,4000,810.0303157907117,796.4877575673482
Measured FIR plus residual clock,4160,829.9262542539548,806.5193065733301
Measured FIR plus residual clock,4320,874.4938964909932,826.9116835486291
Measured FIR plus residual clock,4480,929.3785289105833,857.6517371572154
Measured FIR plus residual clock,4640,914.4362368421322,874.6870870626904
Measured FIR plus residual clock,4800,911.095878598954,885.6097245235694
Measured FIR plus residual clock,4960,926.8284900670674,897.9753541866188
Measured FIR plus residual clock,5120,971.4181772027946,920.0082010914715
Measured FIR plus residual clock,5280,947.3907621726106,928.2229694158133
