path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,94.23828125,-14.865126271188535,-14.466459218081681,-13.803514895679102
SIP D/A-A/D,94.7265625,-14.750274211583356,-14.340442447931093,-13.684856923416147
SIP D/A-A/D,95.21484375,-14.63939819424418,-14.184281267552336,-13.567633385258036
SIP D/A-A/D,95.703125,-14.528442132431397,-14.036048744948616,-13.480247863110426
SIP D/A-A/D,96.19140625,-14.41740609629922,-13.930230140311801,-13.392586169867064
SIP D/A-A/D,96.6796875,-14.28961819178731,-13.782122114116833,-13.288463620765564
SIP D/A-A/D,97.16796875,-14.157683729018975,-13.634933145936659,-13.153226297299
SIP D/A-A/D,97.65625,-14.026025239043667,-13.49841603998187,-13.01789536429228
SIP D/A-A/D,98.14453125,-13.894667936953452,-13.400094951677737,-12.883481474128033
SIP D/A-A/D,98.6328125,-13.763635685788417,-13.301818516811405,-12.758673647897906
SIP D/A-A/D,99.12109375,-13.632951042065864,-13.203576224364394,-12.645587346834022
SIP D/A-A/D,99.609375,-13.50263530152665,-13.105358235620372,-12.533058159012343
SIP D/A-A/D,100.09765625,-13.379028032302719,-13.00715537853102,-12.421075286067639
SIP D/A-A/D,100.5859375,-13.274594974778877,-12.903293412478046,-12.309628328802424
SIP D/A-A/D,101.07421875,-13.163291847416772,-12.764416752229113,-12.198707276177066
SIP D/A-A/D,101.5625,-13.035021263547652,-12.626317301335078,-12.08830249458592
SIP D/A-A/D,102.05078125,-12.906906207898373,-12.489168406049178,-11.978404717406962
SIP D/A-A/D,102.5390625,-12.778972008114312,-12.352966143042039,-11.869005034812712
SIP D/A-A/D,103.02734375,-12.651242892436432,-12.217706207905639,-11.744633529801629
SIP D/A-A/D,103.515625,-12.523742015045919,-12.083383950453488,-11.620185843054681
SIP D/A-A/D,104.00390625,-12.396491482524741,-11.94999440753936,-11.496428192228066
SIP D/A-A/D,104.4921875,-12.269512381217702,-11.851684321818537,-11.373357048607158
SIP D/A-A/D,104.98046875,-12.142824805298414,-11.724560268625543,-11.250968827942767
SIP D/A-A/D,105.46875,-12.016447885359547,-11.60771508995517,-11.1292598975609
SIP D/A-A/D,105.95703125,-11.894007098113061,-11.498004980685371,-11.008226582998358
SIP D/A-A/D,106.4453125,-11.78566767861102,-11.388501387219174,-10.881946114243323
SIP D/A-A/D,106.93359375,-11.677302067960103,-11.279207791610002,-10.750657536962336
SIP D/A-A/D,107.421875,-11.568919770307255,-11.170127806278769,-10.64914308984871
SIP D/A-A/D,107.91015625,-11.460530443642373,-11.061265162869384,-10.537763800544322
SIP D/A-A/D,108.3984375,-11.352143879558259,-10.952623701421185,-10.432173404542702
SIP D/A-A/D,108.88671875,-11.243769983579266,-10.844207359864704,-10.326862321961801
SIP D/A-A/D,109.375,-11.136575950068364,-10.736020163845247,-10.221833028473917
